[2026-05-06 15:58:57 INF] A iniciar a aplicação SoundStore...
[2026-05-06 15:58:58 INF] Aplicação SoundStore iniciada com sucesso.
[2026-05-06 16:00:38 WRN] Failed to determine the https port for redirect.
[2026-05-06 16:00:38 INF] HTTP OPTIONS /api/carrinho responded 204 in 18.5646 ms
[2026-05-06 16:00:38 INF] HTTP OPTIONS /api/carrinho responded 204 in 18.5712 ms
[2026-05-06 16:01:54 INF] HTTP GET /api/categorias responded 200 in 457.7159 ms
[2026-05-06 16:01:54 INF] HTTP GET /api/produtos responded 200 in 433.8671 ms
[2026-05-06 16:01:55 INF] HTTP GET /imagens/produtos/1_FenderPrecisionBass.webp responded 200 in 46.7966 ms
[2026-05-06 16:01:55 INF] HTTP GET /imagens/produtos/3_YamahaFG800M.jpg responded 200 in 46.7821 ms
[2026-05-06 16:01:55 INF] HTTP GET /imagens/produtos/1_Taylor214ce.webp responded 200 in 46.2235 ms
[2026-05-06 16:01:55 INF] HTTP GET /imagens/produtos/1_FenderStratocaster.webp responded 200 in 56.2784 ms
[2026-05-06 16:01:55 INF] HTTP GET /imagens/produtos/1_GibsonLesPaul50.webp responded 200 in 540.8427 ms
[2026-05-06 16:01:55 INF] HTTP GET /imagens/produtos/1_MusicManStingRay.webp responded 200 in 6.2891 ms
[2026-05-06 16:01:57 INF] HTTP GET /imagens/produtos/3_FenderCB60SCE.jpg responded 200 in 7.7313 ms
[2026-05-06 16:01:57 INF] HTTP GET /imagens/produtos/1_HofnerViolinBass.webp responded 200 in 133.3298 ms
[2026-05-06 16:01:57 INF] HTTP GET /imagens/produtos/1_KawaiK200.jpg responded 200 in 2.8182 ms
[2026-05-06 16:01:57 INF] HTTP GET /imagens/produtos/1_YamahaU1Piano.jpg responded 200 in 59.7959 ms
[2026-05-06 16:01:58 INF] HTTP GET /imagens/produtos/1_RolandRD88.webp responded 200 in 10.5695 ms
[2026-05-06 16:01:58 INF] HTTP GET /imagens/produtos/4_KorgKronos88.webp responded 200 in 144.4951 ms
[2026-05-06 16:01:58 INF] HTTP GET /imagens/produtos/3_PearlExportEXX.jpg responded 200 in 3.5842 ms
[2026-05-06 16:01:58 INF] HTTP GET /imagens/produtos/1_RolandTD17KVX.jpg responded 200 in 3.0503 ms
[2026-05-06 16:01:58 INF] HTTP GET /imagens/produtos/1_AlesisNitro.jpg responded 200 in 35.9348 ms
[2026-05-06 16:01:59 INF] HTTP GET /imagens/produtos/1_TamaImperialstar.webp responded 200 in 294.5365 ms
[2026-05-06 16:01:59 INF] HTTP GET /imagens/produtos/1_BachTR300H2.webp responded 200 in 7.7439 ms
[2026-05-06 16:01:59 INF] HTTP GET /imagens/produtos/1_YamahaYAS280.jpg responded 200 in 2.6720 ms
[2026-05-06 16:01:59 INF] HTTP GET /imagens/produtos/1_DaddarioEXL110.webp responded 200 in 3.9430 ms
[2026-05-06 16:01:59 INF] HTTP GET /imagens/produtos/1_DunlopTortex.jpg responded 200 in 2.0788 ms
[2026-05-06 16:02:03 INF] HTTP GET /api/produtos responded 200 in 10.0694 ms
[2026-05-06 16:02:16 INF] HTTP POST /api/auth/login responded 200 in 2375.4458 ms
[2026-05-06 16:02:25 INF] HTTP POST /api/auth/login responded 200 in 3773.7301 ms
[2026-05-06 16:04:07 INF] HTTP POST /api/auth/google-login responded 200 in 265.0620 ms
[2026-05-06 16:04:07 INF] HTTP GET /api/carrinho responded 200 in 43.8612 ms
[2026-05-06 16:04:07 INF] HTTP GET /api/auth/me responded 200 in 6.8120 ms
[2026-05-06 16:04:07 INF] HTTP GET /api/auth/me responded 200 in 2.2007 ms
[2026-05-06 16:04:15 INF] HTTP GET /api/encomendas responded 200 in 16.3076 ms
[2026-05-06 16:04:17 INF] HTTP GET /api/auth/me responded 200 in 0.9624 ms
[2026-05-06 16:04:20 INF] HTTP GET /api/auth/me responded 200 in 1.0969 ms
[2026-05-06 16:05:23 INF] HTTP POST /api/auth/login responded 200 in 1691.4470 ms
[2026-05-06 16:05:40 INF] HTTP POST /api/auth/verify-2fa responded 200 in 10.2711 ms
[2026-05-06 16:05:40 INF] HTTP GET /api/carrinho responded 200 in 9.8297 ms
[2026-05-06 16:05:40 INF] HTTP GET /api/auth/me responded 200 in 4.1695 ms
[2026-05-06 16:05:40 INF] HTTP GET /api/auth/me responded 200 in 7.3646 ms
[2026-05-06 16:05:44 INF] HTTP GET /api/encomendas responded 200 in 9.1801 ms
[2026-05-06 16:05:46 INF] HTTP GET /api/auth/me responded 200 in 2.7106 ms
[2026-05-06 16:05:49 INF] HTTP GET /api/auth/me responded 200 in 2.4427 ms
[2026-05-06 16:06:06 INF] HTTP POST /api/auth/login responded 200 in 1564.0033 ms
[2026-05-06 16:06:17 INF] HTTP POST /api/auth/verify-2fa responded 200 in 3.9753 ms
[2026-05-06 16:06:17 INF] HTTP GET /api/carrinho responded 200 in 5.0987 ms
[2026-05-06 16:06:17 INF] HTTP GET /api/auth/me responded 200 in 2.0661 ms
[2026-05-06 16:09:45 INF] HTTP GET /api/carrinho responded 200 in 5.2984 ms
[2026-05-06 16:09:46 INF] HTTP GET /api/categorias responded 200 in 4.5610 ms
[2026-05-06 16:09:46 INF] HTTP GET /api/produtos responded 200 in 12.1387 ms
[2026-05-06 16:10:28 INF] HTTP GET /api/auth/me responded 200 in 5.8430 ms
[2026-05-06 16:12:23 INF] HTTP POST /api/auth/login responded 401 in 55.8679 ms
[2026-05-06 16:12:32 INF] HTTP POST /api/auth/login responded 200 in 56.2247 ms
[2026-05-06 16:12:32 INF] HTTP GET /api/carrinho responded 200 in 4.7875 ms
[2026-05-06 16:12:32 INF] HTTP GET /api/auth/me responded 200 in 2.5867 ms
[2026-05-06 16:12:32 INF] HTTP GET /api/auth/me responded 200 in 0.8568 ms
[2026-05-06 16:12:38 INF] HTTP GET /api/auth/me responded 200 in 0.9513 ms
[2026-05-06 16:12:39 INF] HTTP POST /api/auth/toggle-2fa responded 200 in 7.0679 ms
[2026-05-06 16:12:40 INF] HTTP POST /api/auth/toggle-2fa responded 200 in 4.4365 ms
[2026-05-06 16:12:44 INF] HTTP GET /api/encomendas responded 200 in 3.9696 ms
[2026-05-06 16:13:16 INF] HTTP GET /api/auth/me responded 200 in 5.0918 ms
[2026-05-06 16:13:43 INF] HTTP POST /api/auth/login responded 200 in 1567.9827 ms
[2026-05-06 16:13:52 INF] HTTP POST /api/auth/verify-2fa responded 200 in 3.6310 ms
[2026-05-06 16:13:52 INF] HTTP GET /api/carrinho responded 200 in 9.0672 ms
[2026-05-06 16:13:52 INF] HTTP GET /api/auth/me responded 200 in 3.0094 ms
[2026-05-06 16:13:52 INF] HTTP GET /api/auth/me responded 200 in 0.8128 ms
[2026-05-06 16:15:19 INF] HTTP GET /api/produtos responded 200 in 9.1864 ms
[2026-05-06 16:15:41 INF] HTTP GET /api/produtos responded 200 in 5.7094 ms
[2026-05-06 17:48:35 INF] HTTP GET /api/carrinho responded 200 in 116.2890 ms
[2026-05-06 17:48:36 INF] HTTP GET /api/categorias responded 200 in 12.8837 ms
[2026-05-06 17:48:36 INF] HTTP GET /api/produtos responded 200 in 17.8352 ms
[2026-05-06 17:49:42 INF] HTTP GET /api/auth/me responded 200 in 7.7572 ms
[2026-05-06 17:49:47 INF] HTTP POST /api/auth/google-login responded 200 in 252.7160 ms
[2026-05-06 17:49:47 INF] HTTP GET /api/carrinho responded 200 in 6.8314 ms
[2026-05-06 17:49:47 INF] HTTP GET /api/auth/me responded 200 in 27.4101 ms
[2026-05-06 17:49:47 INF] HTTP GET /api/auth/me responded 200 in 1.5040 ms
[2026-05-06 18:22:59 INF] HTTP GET /api/produtos responded 200 in 39.8947 ms
[2026-05-06 18:23:00 INF] HTTP GET /api/produtos responded 200 in 112.2777 ms
[2026-05-06 18:23:02 INF] HTTP GET /api/produtos responded 200 in 4.7334 ms
[2026-05-06 18:23:03 INF] HTTP GET /api/produtos responded 200 in 2.2226 ms
[2026-05-06 18:23:04 INF] HTTP GET /api/produtos responded 200 in 0.9973 ms
[2026-05-06 18:23:05 INF] HTTP GET /api/produtos responded 200 in 1.6462 ms
[2026-05-06 18:23:07 INF] HTTP GET /api/produtos responded 200 in 1.3469 ms
[2026-05-06 18:23:07 INF] HTTP GET /api/produtos responded 200 in 2.7219 ms
[2026-05-06 18:23:09 INF] HTTP GET /api/produtos responded 200 in 1.1062 ms
[2026-05-06 18:23:16 INF] HTTP GET /api/encomendas responded 200 in 18.9805 ms
