[2026-05-08 13:40:45 INF] A iniciar a aplicação SoundStore...
[2026-05-08 13:40:46 INF] Aplicação SoundStore iniciada com sucesso.
[2026-05-08 13:41:43 WRN] Failed to determine the https port for redirect.
[2026-05-08 13:41:43 INF] HTTP OPTIONS /api/produtos/admin responded 204 in 8.9502 ms
[2026-05-08 13:41:43 INF] HTTP OPTIONS /api/carrinho responded 204 in 8.9391 ms
[2026-05-08 13:41:43 INF] HTTP OPTIONS /api/produtos/admin responded 204 in 8.9573 ms
[2026-05-08 13:41:43 INF] HTTP OPTIONS /api/carrinho responded 204 in 8.9451 ms
[2026-05-08 13:41:46 INF] HTTP GET /api/produtos responded 200 in 340.8012 ms
[2026-05-08 13:41:46 INF] HTTP GET /api/produtos responded 200 in 340.8127 ms
[2026-05-08 13:41:46 INF] HTTP GET /api/produtos responded 200 in 340.6696 ms
[2026-05-08 13:41:46 INF] HTTP GET /api/produtos responded 200 in 340.8021 ms
[2026-05-08 13:41:46 INF] HTTP GET /api/produtos responded 200 in 340.7957 ms
[2026-05-08 13:41:46 INF] HTTP GET /api/produtos responded 200 in 340.8819 ms
[2026-05-08 13:42:09 INF] HTTP OPTIONS /api/auth/login responded 204 in 0.0588 ms
[2026-05-08 13:42:10 INF] HTTP POST /api/auth/login responded 200 in 1560.8262 ms
[2026-05-08 13:42:26 INF] HTTP OPTIONS /api/auth/verify-2fa responded 204 in 0.0591 ms
[2026-05-08 13:42:26 INF] HTTP POST /api/auth/verify-2fa responded 200 in 27.3623 ms
[2026-05-08 13:42:26 INF] HTTP GET /api/produtos responded 200 in 15.9600 ms
[2026-05-08 13:42:26 INF] HTTP GET /api/produtos responded 200 in 10.3146 ms
[2026-05-08 13:42:26 INF] HTTP GET /api/produtos responded 200 in 16.8830 ms
[2026-05-08 13:42:26 INF] HTTP OPTIONS /api/carrinho responded 204 in 0.0580 ms
[2026-05-08 13:42:26 INF] HTTP GET /api/produtos responded 200 in 11.2024 ms
[2026-05-08 13:42:26 INF] HTTP GET /api/produtos responded 200 in 8.2220 ms
[2026-05-08 13:42:26 INF] HTTP GET /api/produtos responded 200 in 42.2049 ms
[2026-05-08 13:42:27 INF] HTTP GET /api/carrinho responded 200 in 71.9096 ms
[2026-05-08 13:42:37 INF] HTTP OPTIONS /api/auth/me responded 204 in 0.0506 ms
[2026-05-08 13:42:37 INF] HTTP GET /api/auth/me responded 200 in 6.0839 ms
[2026-05-08 13:42:37 INF] HTTP GET /api/auth/me responded 200 in 1.8793 ms
[2026-05-08 13:42:39 INF] HTTP OPTIONS /api/encomendas responded 204 in 0.0566 ms
[2026-05-08 13:42:39 INF] HTTP GET /api/encomendas responded 200 in 9.1656 ms
[2026-05-08 13:42:41 INF] HTTP OPTIONS /api/users responded 204 in 0.0473 ms
[2026-05-08 13:42:41 INF] HTTP GET /api/users responded 200 in 2.6079 ms
[2026-05-08 13:42:41 INF] HTTP GET /api/users responded 200 in 0.6784 ms
[2026-05-08 13:42:56 INF] HTTP OPTIONS /api/encomendas/admin responded 204 in 0.1427 ms
[2026-05-08 13:42:56 INF] HTTP GET /api/encomendas/admin responded 200 in 4.9425 ms
[2026-05-08 13:42:56 INF] HTTP GET /api/encomendas/admin responded 200 in 2.7388 ms
[2026-05-08 13:43:42 INF] HTTP GET /api/produtos responded 200 in 5.9922 ms
