[2026-05-07 14:48:45 INF] A iniciar a aplicação SoundStore...
[2026-05-07 14:48:46 INF] Aplicação SoundStore iniciada com sucesso.
[2026-05-07 14:49:19 WRN] Failed to determine the https port for redirect.
[2026-05-07 14:49:19 INF] HTTP GET /api/auth/me responded 401 in 121.8098 ms
[2026-05-07 14:49:23 INF] HTTP GET /api/produtos responded 200 in 357.0471 ms
[2026-05-07 14:49:23 INF] HTTP GET /api/produtos responded 200 in 6.1065 ms
[2026-05-07 14:50:04 INF] HTTP OPTIONS /api/carrinho responded 204 in 1.9823 ms
[2026-05-07 14:50:04 INF] HTTP OPTIONS /api/carrinho responded 204 in 0.2801 ms
[2026-05-07 14:50:12 INF] HTTP GET /api/produtos responded 200 in 7.4574 ms
[2026-05-07 14:50:12 INF] HTTP GET /api/categorias responded 200 in 19.1145 ms
[2026-05-07 14:50:50 INF] HTTP GET /api/produtos responded 200 in 70.6853 ms
[2026-05-07 14:50:50 INF] HTTP GET /api/produtos responded 200 in 11.0881 ms
[2026-05-07 14:50:51 INF] HTTP GET /api/produtos responded 200 in 14.9598 ms
[2026-05-07 14:50:51 INF] HTTP GET /api/produtos responded 200 in 14.4368 ms
[2026-05-07 14:50:52 INF] HTTP GET /api/produtos responded 200 in 13.3783 ms
[2026-05-07 14:50:53 INF] HTTP GET /api/produtos responded 200 in 15.7964 ms
[2026-05-07 14:50:55 INF] HTTP GET /api/produtos responded 200 in 5.0483 ms
[2026-05-07 14:50:56 INF] HTTP GET /api/produtos/1 responded 200 in 11.3801 ms
[2026-05-07 14:50:57 INF] HTTP GET /imagens/produtos/3_FenderStratocaster.jpg responded 200 in 74.9933 ms
[2026-05-07 14:50:57 INF] HTTP GET /imagens/produtos/2_FenderStratocaster.jpg responded 200 in 75.0242 ms
[2026-05-07 14:50:57 INF] HTTP GET /imagens/produtos/4_FenderStratocaster.webp responded 200 in 78.8382 ms
[2026-05-07 14:51:02 INF] HTTP GET /api/produtos/2 responded 200 in 4.1707 ms
